Date,Occupancy,Waiting Queue
2020-10-21T17:40:40.000Z,0.85,0
2020-10-21T17:29:46.000Z,0.85,0
2020-10-21T17:01:34.000Z,0.74,0
2020-10-21T16:45:36.000Z,0.68,0
2020-10-21T16:39:41.000Z,0.68,0
2020-10-21T16:29:36.000Z,0.59,0
2020-10-21T16:01:31.000Z,0.56,0
2020-10-21T15:45:49.000Z,0.47,0
2020-10-21T15:33:30.000Z,0.44,0
2020-10-21T15:26:23.000Z,0.43,0
2020-10-21T15:01:27.000Z,0.45,0
2020-10-21T14:51:24.000Z,0.44,0
2020-10-21T14:36:20.000Z,0.4,0
2020-10-21T14:02:00.000Z,0.33,0
2020-10-21T13:45:47.000Z,0.33,0
2020-10-21T13:32:22.000Z,0.33,0
2020-10-21T13:25:36.000Z,0.33,0
2020-10-21T13:01:29.000Z,0.29,0
2020-10-21T12:46:26.000Z,0.33,0
2020-10-21T12:39:16.000Z,0.36,0
2020-10-21T12:29:00.000Z,0.37,0
2020-10-21T12:01:31.000Z,0.37,0
2020-10-21T11:46:52.000Z,0.4,0
2020-10-21T11:38:01.000Z,0.44,0
2020-10-21T11:28:18.000Z,0.45,0
2020-10-21T11:01:38.000Z,0.42,0
2020-10-21T10:45:39.000Z,0.39,0
2020-10-21T10:30:47.000Z,0.39,0
2020-10-21T10:01:50.000Z,0.35,0
2020-10-21T09:45:30.000Z,0.35,0
2020-10-21T09:36:47.000Z,0.33,0
2020-10-21T09:28:22.000Z,0.3,0
2020-10-21T09:01:50.000Z,0.31,0
2020-10-20T23:45:39.000Z,0.18,0
2020-10-20T23:34:13.000Z,0.19,0
2020-10-20T23:26:24.000Z,0.2,0
2020-10-20T23:01:36.000Z,0.27,0
2020-10-20T22:45:39.000Z,0.32,0
2020-10-20T22:35:29.000Z,0.4,0
2020-10-20T22:27:32.000Z,0.45,0
2020-10-20T22:03:32.000Z,0.54,0
2020-10-20T21:45:34.000Z,0.67,0
2020-10-20T21:31:12.000Z,0.68,0
2020-10-20T21:24:36.000Z,0.69,0
2020-10-20T21:01:21.000Z,0.71,0
2020-10-20T20:47:14.000Z,0.75,0
2020-10-20T20:42:53.000Z,0.74,0
2020-10-20T20:01:31.000Z,0.78,0
2020-10-20T19:45:38.000Z,0.85,0
2020-10-20T19:32:08.000Z,0.85,0
2020-10-20T19:25:50.000Z,0.87,0
2020-10-20T19:01:27.000Z,0.99,0
2020-10-20T18:48:26.000Z,0.98,0
2020-10-20T18:35:41.000Z,1,10
2020-10-20T18:01:51.000Z,1,30
2020-10-20T17:48:16.000Z,1,14
2020-10-20T17:40:37.000Z,1,8
2020-10-20T17:29:11.000Z,1,0
2020-10-20T17:01:38.000Z,1,0
2020-10-20T16:45:41.000Z,0.85,0
2020-10-20T16:38:20.000Z,0.78,0
2020-10-20T16:28:49.000Z,0.75,0
2020-10-20T16:01:54.000Z,0.7,0
2020-10-20T15:45:34.000Z,0.6,0
2020-10-20T15:34:29.000Z,0.56,0
2020-10-20T15:26:54.000Z,0.54,0
2020-10-20T15:01:25.000Z,0.47,0
2020-10-20T14:51:00.000Z,0.44,0
2020-10-20T14:35:56.000Z,0.37,0
2020-10-20T14:01:42.000Z,0.41,0
2020-10-20T13:45:41.000Z,0.39,0
2020-10-20T13:32:28.000Z,0.35,0
2020-10-20T13:25:42.000Z,0.35,0
2020-10-20T13:01:30.000Z,0.33,0
2020-10-20T12:45:51.000Z,0.34,0
2020-10-20T12:36:49.000Z,0.34,0
2020-10-20T12:27:59.000Z,0.33,0
2020-10-20T12:01:36.000Z,0.35,0
2020-10-20T11:46:43.000Z,0.34,0
2020-10-20T11:37:31.000Z,0.34,0
2020-10-20T11:28:12.000Z,0.31,0
2020-10-20T11:01:38.000Z,0.34,0
2020-10-20T10:45:38.000Z,0.33,0
2020-10-20T10:30:48.000Z,0.35,0
2020-10-20T10:01:45.000Z,0.34,0
2020-10-20T09:46:42.000Z,0.3,0
2020-10-20T09:34:38.000Z,0.27,0
2020-10-20T09:27:17.000Z,0.28,0
2020-10-20T09:01:38.000Z,0.25,0
2020-10-19T23:45:36.000Z,0.28,0
2020-10-19T23:34:28.000Z,0.29,0
2020-10-19T23:26:35.000Z,0.3,0
2020-10-19T23:01:24.000Z,0.37,0
2020-10-19T22:45:51.000Z,0.42,0
2020-10-19T22:36:02.000Z,0.46,0
2020-10-19T22:27:40.000Z,0.52,0
2020-10-19T22:01:34.000Z,0.63,0
2020-10-19T21:45:44.000Z,0.69,0
2020-10-19T21:30:45.000Z,0.76,0
2020-10-19T21:24:15.000Z,0.8,0
2020-10-19T21:01:24.000Z,0.85,0
2020-10-19T20:47:05.000Z,0.91,0
2020-10-19T20:41:02.000Z,0.88,0
2020-10-19T20:29:39.000Z,0.93,0
2020-10-19T20:01:48.000Z,0.99,0
2020-10-19T19:45:48.000Z,0.97,0
2020-10-19T19:30:58.000Z,1,0
2020-10-19T19:24:47.000Z,0.99,0
2020-10-19T19:01:28.000Z,1,0
2020-10-19T18:47:45.000Z,0.99,0
2020-10-19T18:34:42.000Z,0.97,0
2020-10-19T18:01:50.000Z,1,0
2020-10-19T17:46:40.000Z,0.87,0
2020-10-19T17:38:18.000Z,0.85,0
2020-10-19T17:28:46.000Z,0.77,0
2020-10-19T17:01:32.000Z,0.68,0
2020-10-19T16:45:41.000Z,0.67,0
2020-10-19T16:38:46.000Z,0.63,0
2020-10-19T16:29:01.000Z,0.58,0
2020-10-19T15:52:09.000Z,0.62,0
2020-10-19T13:49:38.000Z,0.6,0
